Model,Accuracy,Precision,Recall,F1_Score
Ridge (L2),0.9635036496350365,0.9970887918486172,0.9474412171507607,0.9716312056737588
Lasso (L1),0.9575729927007299,0.9973045822102425,0.938220378054403,0.9668606722888704
Elastic Net,0.9612226277372263,0.9975627589568609,0.9435223605348086,0.9697903092050705
